Sexo;Edad;Nacionalidad;Year;Total
Hombres;20 años;Españoles;2013;211.085
Hombres;20 años;Españoles;2012;210.797
Hombres;20 años;Españoles;2011;213.403
Hombres;20 años;Españoles;2010;216.903
Hombres;20 años;Españoles;2009;220.337
Hombres;20 años;Españoles;2008;222.948
Hombres;20 años;Españoles;2007;229.033
Hombres;21 años;Españoles;2022;217.175
Hombres;21 años;Españoles;2021;209.116
Hombres;21 años;Españoles;2020;202.372
Hombres;21 años;Españoles;2019;202.745
Hombres;21 años;Españoles;2018;198.988
Hombres;21 años;Españoles;2017;198.661
Hombres;21 años;Españoles;2016;200.051
Hombres;21 años;Españoles;2015;207.587
Hombres;21 años;Españoles;2014;212.531
Hombres;21 años;Españoles;2013;210.721
Hombres;21 años;Españoles;2012;212.562
Hombres;21 años;Españoles;2011;217.255
Hombres;21 años;Españoles;2010;220.722
Hombres;21 años;Españoles;2009;223.561
Hombres;21 años;Españoles;2008;229.522
Hombres;21 años;Españoles;2007;238.178
Hombres;22 años;Españoles;2022;209.745
Hombres;22 años;Españoles;2021;202.816
Hombres;22 años;Españoles;2020;203.418
Hombres;22 años;Españoles;2019;199.447
Hombres;22 años;Españoles;2018;199.064
Hombres;22 años;Españoles;2017;200.694
Hombres;22 años;Españoles;2016;208.118
Hombres;22 años;Españoles;2015;213.425
Hombres;22 años;Españoles;2014;212.148
Hombres;22 años;Españoles;2013;212.270
Hombres;22 años;Españoles;2012;216.574
Hombres;22 años;Españoles;2011;221.015
Hombres;22 años;Españoles;2010;223.841
Hombres;22 años;Españoles;2009;229.621
Hombres;22 años;Españoles;2008;238.482
Hombres;22 años;Españoles;2007;248.171
Hombres;23 años;Españoles;2022;203.280
Hombres;23 años;Españoles;2021;203.788
Hombres;23 años;Españoles;2020;199.878
Hombres;23 años;Españoles;2019;199.467
Hombres;23 años;Españoles;2018;201.024
Hombres;23 años;Españoles;2017;208.631
Hombres;23 años;Españoles;2016;213.693
Hombres;23 años;Españoles;2015;212.963
Hombres;23 años;Españoles;2014;213.538
Hombres;23 años;Españoles;2013;216.293
Hombres;23 años;Españoles;2012;220.360
Hombres;23 años;Españoles;2011;224.096
Hombres;23 años;Españoles;2010;229.820
Hombres;23 años;Españoles;2009;238.472
Hombres;23 años;Españoles;2008;248.460
Hombres;23 años;Españoles;2007;256.855
Hombres;24 años;Españoles;2022;204.242
Hombres;24 años;Españoles;2021;200.199
Hombres;24 años;Españoles;2020;199.935
Hombres;24 años;Españoles;2019;201.361
Hombres;24 años;Españoles;2018;208.784
Hombres;24 años;Españoles;2017;214.012
Hombres;24 años;Españoles;2016;213.236
Hombres;24 años;Españoles;2015;214.252
Hombres;24 años;Españoles;2014;217.309
Hombres;24 años;Españoles;2013;220.085
Hombres;24 años;Españoles;2012;223.354
Hombres;24 años;Españoles;2011;229.983
Hombres;24 años;Españoles;2010;238.695
Hombres;24 años;Españoles;2009;248.513
Hombres;24 años;Españoles;2008;257.058
Hombres;24 años;Españoles;2007;271.765
Hombres;25 años;Españoles;2022;200.750
Hombres;25 años;Españoles;2021;200.361
Hombres;25 años;Españoles;2020;201.791
Hombres;25 años;Españoles;2019;209.101
Hombres;25 años;Españoles;2018;214.010
Hombres;25 años;Españoles;2017;213.501
Hombres;25 años;Españoles;2016;214.259
Hombres;25 años;Españoles;2015;217.790
Hombres;25 años;Españoles;2014;220.940
Hombres;25 años;Españoles;2013;222.778
Hombres;25 años;Españoles;2012;229.203
Hombres;25 años;Españoles;2011;238.773
Hombres;25 años;Españoles;2010;248.637
Hombres;25 años;Españoles;2009;257.190
Hombres;25 años;Españoles;2008;271.960
Hombres;25 años;Españoles;2007;286.106
