tipo_jornada;formacion;periodo;total
Total;11 Estudios primarios incompletos;2020;1811,81
Total;11 Estudios primarios incompletos;2019;1787,68
Total;11 Estudios primarios incompletos;2018;1780,48
Total;11 Estudios primarios incompletos;2017;1703,67
Total;11 Estudios primarios incompletos;2016;1679,97
Total;11 Estudios primarios incompletos;2015;1703,13
Total;11 Estudios primarios incompletos;2014;1744,17
Total;11 Estudios primarios incompletos;2022;2199,91
Total;11 Estudios primarios incompletos;2021;2115,94
Total;11 Estudios primarios incompletos;2020;2105,02
Total;11 Estudios primarios incompletos;2019;2016,21
Total;11 Estudios primarios incompletos;2018;2004,69
Total;11 Estudios primarios incompletos;2017;1927,34
Total;11 Estudios primarios incompletos;2016;1911,89
Total;11 Estudios primarios incompletos;2015;1944,31
Total;11 Estudios primarios incompletos;2014;2024,02
Total;11 Estudios primarios incompletos;2022;..
Total;11 Estudios primarios incompletos;2021;2401,75
Total;11 Estudios primarios incompletos;2020;2551,1
Total;11 Estudios primarios incompletos;2019;2374,36
Total;11 Estudios primarios incompletos;2018;2295,21
Total;11 Estudios primarios incompletos;2017;2376,58
Total;11 Estudios primarios incompletos;2016;2218,27
Total;11 Estudios primarios incompletos;2015;2322,55
Total;11 Estudios primarios incompletos;2014;2451,41
Total;11 Estudios primarios incompletos;2022;..
Total;11 Estudios primarios incompletos;2021;2899,02
Total;11 Estudios primarios incompletos;2020;2853,18
Total;11 Estudios primarios incompletos;2019;2848,4
Total;11 Estudios primarios incompletos;2018;2842,23
Total;11 Estudios primarios incompletos;2017;2699,87
Total;11 Estudios primarios incompletos;2016;2825,31
Total;11 Estudios primarios incompletos;2015;3131,19
Total;11 Estudios primarios incompletos;2014;2936,41
Total;11 Estudios primarios incompletos;2022;3681,24
Total;11 Estudios primarios incompletos;2021;..
Total;11 Estudios primarios incompletos;2020;..
Total;11 Estudios primarios incompletos;2019;3515,61
Total;11 Estudios primarios incompletos;2018;..
Total;11 Estudios primarios incompletos;2017;..
Total;11 Estudios primarios incompletos;2016;3567,05
Total;11 Estudios primarios incompletos;2015;..
Total;11 Estudios primarios incompletos;2014;..
Total;B Educación primaria;2022;1479,56
Total;B Educación primaria;2021;1372,69
Total;B Educación primaria;2020;1349,81
Total;B Educación primaria;2019;1350,1
Total;B Educación primaria;2018;1307,01
Total;B Educación primaria;2017;1260,53
Total;B Educación primaria;2016;1273,92
Total;B Educación primaria;2015;1272,97
Total;B Educación primaria;2014;1276,28
Total;B Educación primaria;2022;605,13
Total;B Educación primaria;2021;556,67
Total;B Educación primaria;2020;469,82
Total;B Educación primaria;2019;516,15
Total;B Educación primaria;2018;483,86
Total;B Educación primaria;2017;433,4
Total;B Educación primaria;2016;455,82
Total;B Educación primaria;2015;387,4
Total;B Educación primaria;2014;394,87
Total;B Educación primaria;2022;1147,62
Total;B Educación primaria;2021;1046,47
Total;B Educación primaria;2020;1016,73
Total;B Educación primaria;2019;987,4
Total;B Educación primaria;2018;911,28
Total;B Educación primaria;2017;869,65
Total;B Educación primaria;2016;852,5
Total;B Educación primaria;2015;825,89
Total;B Educación primaria;2014;829,04
Total;B Educación primaria;2022;1341,08
Total;B Educación primaria;2021;1265,08
Total;B Educación primaria;2020;1234
Total;B Educación primaria;2019;1224,69
Total;B Educación primaria;2018;1148,83
Total;B Educación primaria;2017;1122,26
Total;B Educación primaria;2016;1119,05
Total;B Educación primaria;2015;1092,05
Total;B Educación primaria;2014;1097,32
Total;B Educación primaria;2022;1523,17
Total;B Educación primaria;2021;1465,76
Total;B Educación primaria;2020;1427,35
Total;B Educación primaria;2019;1424,53
Total;B Educación primaria;2018;1354,56
Total;B Educación primaria;2017;1315,79
Total;B Educación primaria;2016;1332,33
Total;B Educación primaria;2015;1314,71
Total;B Educación primaria;2014;1321,27
Total;B Educación primaria;2022;1732,76
Total;B Educación primaria;2021;1667,33
Total;B Educación primaria;2020;1612,82
Total;B Educación primaria;2019;1593,3
Total;B Educación primaria;2018;1543,87
Total;B Educación primaria;2017;1496,59
Total;B Educación primaria;2016;1486,8
Total;B Educación primaria;2015;1491,34
Total;B Educación primaria;2014;1496,48
Total;B Educación primaria;2022;1919,93
Total;B Educación primaria;2021;1867,94
Total;B Educación primaria;2020;1823,85
Total;B Educación primaria;2019;1793,24
Total;B Educación primaria;2018;1748,64
Total;B Educación primaria;2017;1679,22
Total;B Educación primaria;2016;1697,31
Total;B Educación primaria;2015;1691,42
Total;B Educación primaria;2014;1710,31
Total;B Educación primaria;2022;2200,41
Total;B Educación primaria;2021;2163,68
Total;B Educación primaria;2020;2105,21
Total;B Educación primaria;2019;2047,69
Total;B Educación primaria;2018;2017,72
Total;B Educación primaria;2017;1941,53
Total;B Educación primaria;2016;1962,31
Total;B Educación primaria;2015;1964,34
Total;B Educación primaria;2014;2004,88
Total;B Educación primaria;2022;2553,98
Total;B Educación primaria;2021;2497,27
Total;B Educación primaria;2020;2488,22
Total;B Educación primaria;2019;2429,84
Total;B Educación primaria;2018;2425,32
Total;B Educación primaria;2017;2312,95
Total;B Educación primaria;2016;2298,94
Total;B Educación primaria;2015;2375,07
Total;B Educación primaria;2014;2344,52
Total;B Educación primaria;2022;3020,19
Total;B Educación primaria;2021;3341,22
Total;B Educación primaria;2020;3169,79
Total;B Educación primaria;2019;2984,91
Total;B Educación primaria;2018;2927,22
Total;B Educación primaria;2017;2875,69
Total;B Educación primaria;2016;2853,72
Total;B Educación primaria;2015;2917,87
Total;B Educación primaria;2014;2944,15
Total;B Educación primaria;2022;6844
Total;B Educación primaria;2021;4568,33
Total;B Educación primaria;2020;3766,15
Total;B Educación primaria;2019;9725,73
Total;B Educación primaria;2018;4446,7
Total;B Educación primaria;2017;4063
Total;B Educación primaria;2016;4096,35
Total;B Educación primaria;2015;4120
Total;B Educación primaria;2014;3888,92
Total;Primera etapa de educación secundaria y similar;2022;1600,37
Total;Primera etapa de educación secundaria y similar;2021;1543,6
Total;Primera etapa de educación secundaria y similar;2020;1485,94
Total;Primera etapa de educación secundaria y similar;2019;1509,15
Total;Primera etapa de educación secundaria y similar;2018;1462,84
Total;Primera etapa de educación secundaria y similar;2017;1403,98
Total;Primera etapa de educación secundaria y similar;2016;1413,49
Total;Primera etapa de educación secundaria y similar;2015;1391,62
Total;Primera etapa de educación secundaria y similar;2014;1402,11
Total;Primera etapa de educación secundaria y similar;2022;605,55
Total;Primera etapa de educación secundaria y similar;2021;565,43
Total;Primera etapa de educación secundaria y similar;2020;515,04
Total;Primera etapa de educación secundaria y similar;2019;531,18
Total;Primera etapa de educación secundaria y similar;2018;483,47
Total;Primera etapa de educación secundaria y similar;2017;466,83
Total;Primera etapa de educación secundaria y similar;2016;459,47
Total;Primera etapa de educación secundaria y similar;2015;417,26
Total;Primera etapa de educación secundaria y similar;2014;413,54
Total;Primera etapa de educación secundaria y similar;2022;1139,49
Total;Primera etapa de educación secundaria y similar;2021;1042,58
Total;Primera etapa de educación secundaria y similar;2020;1014,54
Total;Primera etapa de educación secundaria y similar;2019;999,38
Total;Primera etapa de educación secundaria y similar;2018;906,04
Total;Primera etapa de educación secundaria y similar;2017;866,92
Total;Primera etapa de educación secundaria y similar;2016;860,11
Total;Primera etapa de educación secundaria y similar;2015;827,06
Total;Primera etapa de educación secundaria y similar;2014;825,58
Total;Primera etapa de educación secundaria y similar;2022;1343,08
Total;Primera etapa de educación secundaria y similar;2021;1267,88
Total;Primera etapa de educación secundaria y similar;2020;1235,38
Total;Primera etapa de educación secundaria y similar;2019;1222,57
Total;Primera etapa de educación secundaria y similar;2018;1154,39
Total;Primera etapa de educación secundaria y similar;2017;1121,47
Total;Primera etapa de educación secundaria y similar;2016;1121,7
Total;Primera etapa de educación secundaria y similar;2015;1103,69
Total;Primera etapa de educación secundaria y similar;2014;1099,36
Total;Primera etapa de educación secundaria y similar;2022;1528,8
Total;Primera etapa de educación secundaria y similar;2021;1461,42
Total;Primera etapa de educación secundaria y similar;2020;1421,18
Total;Primera etapa de educación secundaria y similar;2019;1414,79
Total;Primera etapa de educación secundaria y similar;2018;1360,7
Total;Primera etapa de educación secundaria y similar;2017;1323,86
Total;Primera etapa de educación secundaria y similar;2016;1324,39
Total;Primera etapa de educación secundaria y similar;2015;1313,49
Total;Primera etapa de educación secundaria y similar;2014;1315,18
Total;Primera etapa de educación secundaria y similar;2022;1716,21
Total;Primera etapa de educación secundaria y similar;2021;1656,64
Total;Primera etapa de educación secundaria y similar;2020;1603,03
Total;Primera etapa de educación secundaria y similar;2019;1597,44
Total;Primera etapa de educación secundaria y similar;2018;1545,83
Total;Primera etapa de educación secundaria y similar;2017;1497,11
Total;Primera etapa de educación secundaria y similar;2016;1496,04
Total;Primera etapa de educación secundaria y similar;2015;1495,66
Total;Primera etapa de educación secundaria y similar;2014;1502,53
Total;Primera etapa de educación secundaria y similar;2022;1921,26
Total;Primera etapa de educación secundaria y similar;2021;1865,4
Total;Primera etapa de educación secundaria y similar;2020;1810,71
Total;Primera etapa de educación secundaria y similar;2019;1791,4
Total;Primera etapa de educación secundaria y similar;2018;1748,56
Total;Primera etapa de educación secundaria y similar;2017;1696,14
Total;Primera etapa de educación secundaria y similar;2016;1699,47
Total;Primera etapa de educación secundaria y similar;2015;1701,9
Total;Primera etapa de educación secundaria y similar;2014;1710,69
Total;Primera etapa de educación secundaria y similar;2022;2198,38
Total;Primera etapa de educación secundaria y similar;2021;2147,02
Total;Primera etapa de educación secundaria y similar;2020;2095,13
Total;Primera etapa de educación secundaria y similar;2019;2054,72
Total;Primera etapa de educación secundaria y similar;2018;2009,7
Total;Primera etapa de educación secundaria y similar;2017;1965,37
Total;Primera etapa de educación secundaria y similar;2016;1965,35
Total;Primera etapa de educación secundaria y similar;2015;1951,22
Total;Primera etapa de educación secundaria y similar;2014;1980,1
Total;Primera etapa de educación secundaria y similar;2022;2573,52
Total;Primera etapa de educación secundaria y similar;2021;2559,58
Total;Primera etapa de educación secundaria y similar;2020;2502,56
Total;Primera etapa de educación secundaria y similar;2019;2425,09
Total;Primera etapa de educación secundaria y similar;2018;2408
Total;Primera etapa de educación secundaria y similar;2017;2341,66
Total;Primera etapa de educación secundaria y similar;2016;2334,73
Total;Primera etapa de educación secundaria y similar;2015;2336,73
Total;Primera etapa de educación secundaria y similar;2014;2356,19
Total;Primera etapa de educación secundaria y similar;2022;3160,47
Total;Primera etapa de educación secundaria y similar;2021;3179,61
Total;Primera etapa de educación secundaria y similar;2020;3103,27
Total;Primera etapa de educación secundaria y similar;2019;3023,93
Total;Primera etapa de educación secundaria y similar;2018;2988,58
Total;Primera etapa de educación secundaria y similar;2017;2912,92
Total;Primera etapa de educación secundaria y similar;2016;2875,48
Total;Primera etapa de educación secundaria y similar;2015;2916,79
Total;Primera etapa de educación secundaria y similar;2014;2913,42
Total;Primera etapa de educación secundaria y similar;2022;4267,32
Total;Primera etapa de educación secundaria y similar;2021;4468,08
Total;Primera etapa de educación secundaria y similar;2020;4494,29
Total;Primera etapa de educación secundaria y similar;2019;4048,24
Total;Primera etapa de educación secundaria y similar;2018;4203,69
Total;Primera etapa de educación secundaria y similar;2017;4081,84
Total;Primera etapa de educación secundaria y similar;2016;3964,09
Total;Primera etapa de educación secundaria y similar;2015;4088,65
Total;Primera etapa de educación secundaria y similar;2014;4003,76
Total;Segunda etapa de educación secundaria;2022;1798,87
Total;Segunda etapa de educación secundaria;2021;1765,75
Total;Segunda etapa de educación secundaria;2020;1753,21
Total;Segunda etapa de educación secundaria;2019;1730,7
Total;Segunda etapa de educación secundaria;2018;1697,69
Total;Segunda etapa de educación secundaria;2017;1653,33
Total;Segunda etapa de educación secundaria;2016;1679,5
Total;Segunda etapa de educación secundaria;2015;1739,89
Total;Segunda etapa de educación secundaria;2014;1654,56
Total;Segunda etapa de educación secundaria;2022;590,37
Total;Segunda etapa de educación secundaria;2021;551,77
Total;Segunda etapa de educación secundaria;2020;514,59
Total;Segunda etapa de educación secundaria;2019;516,23
Total;Segunda etapa de educación secundaria;2018;442,9
Total;Segunda etapa de educación secundaria;2017;445,9
Total;Segunda etapa de educación secundaria;2016;467,24
Total;Segunda etapa de educación secundaria;2015;403,58
Total;Segunda etapa de educación secundaria;2014;398,8
Total;Segunda etapa de educación secundaria;2022;1129,11
Total;Segunda etapa de educación secundaria;2021;1045,3
Total;Segunda etapa de educación secundaria;2020;995,99
Total;Segunda etapa de educación secundaria;2019;989,95
Total;Segunda etapa de educación secundaria;2018;904,44
Total;Segunda etapa de educación secundaria;2017;861,35
Total;Segunda etapa de educación secundaria;2016;856,88
Total;Segunda etapa de educación secundaria;2015;822,43
Total;Segunda etapa de educación secundaria;2014;815,91
Total;Segunda etapa de educación secundaria;2022;1347,25
Total;Segunda etapa de educación secundaria;2021;1267,8
Total;Segunda etapa de educación secundaria;2020;1236,47
Total;Segunda etapa de educación secundaria;2019;1227,88
Total;Segunda etapa de educación secundaria;2018;1161,98
Total;Segunda etapa de educación secundaria;2017;1124,96
Total;Segunda etapa de educación secundaria;2016;1109,98
Total;Segunda etapa de educación secundaria;2015;1109,23
Total;Segunda etapa de educación secundaria;2014;1105,94
Total;Segunda etapa de educación secundaria;2022;1526,87
Total;Segunda etapa de educación secundaria;2021;1462,04
Total;Segunda etapa de educación secundaria;2020;1431,78
Total;Segunda etapa de educación secundaria;2019;1417,07
Total;Segunda etapa de educación secundaria;2018;1357,91
Total;Segunda etapa de educación secundaria;2017;1325,71
Total;Segunda etapa de educación secundaria;2016;1328,52
Total;Segunda etapa de educación secundaria;2015;1315,01
Total;Segunda etapa de educación secundaria;2014;1318,02
Total;Segunda etapa de educación secundaria;2022;1714,1
Total;Segunda etapa de educación secundaria;2021;1655,76
Total;Segunda etapa de educación secundaria;2020;1606,53
Total;Segunda etapa de educación secundaria;2019;1598,29
Total;Segunda etapa de educación secundaria;2018;1542,51
Total;Segunda etapa de educación secundaria;2017;1497,5
Total;Segunda etapa de educación secundaria;2016;1496,79
Total;Segunda etapa de educación secundaria;2015;1497,88
Total;Segunda etapa de educación secundaria;2014;1502,78
Total;Segunda etapa de educación secundaria;2022;1922,46
Total;Segunda etapa de educación secundaria;2021;1872,54
Total;Segunda etapa de educación secundaria;2020;1818,71
Total;Segunda etapa de educación secundaria;2019;1786,84
Total;Segunda etapa de educación secundaria;2018;1755,93
Total;Segunda etapa de educación secundaria;2017;1695,25
Total;Segunda etapa de educación secundaria;2016;1702,65
Total;Segunda etapa de educación secundaria;2015;1698,24
Total;Segunda etapa de educación secundaria;2014;1706,32
Total;Segunda etapa de educación secundaria;2022;2182,77
Total;Segunda etapa de educación secundaria;2021;2162,05
Total;Segunda etapa de educación secundaria;2020;2099,49
Total;Segunda etapa de educación secundaria;2019;2049,84
Total;Segunda etapa de educación secundaria;2018;2017,42
Total;Segunda etapa de educación secundaria;2017;1969,47
Total;Segunda etapa de educación secundaria;2016;1968,52
Total;Segunda etapa de educación secundaria;2015;1963,13
Total;Segunda etapa de educación secundaria;2014;2005,23
Total;Segunda etapa de educación secundaria;2022;2575,6
Total;Segunda etapa de educación secundaria;2021;2537,49
Total;Segunda etapa de educación secundaria;2020;2535,16
Total;Segunda etapa de educación secundaria;2019;2431,63
Total;Segunda etapa de educación secundaria;2018;2419,4
Total;Segunda etapa de educación secundaria;2017;2362,28
Total;Segunda etapa de educación secundaria;2016;2357,95
Total;Segunda etapa de educación secundaria;2015;2360,54
Total;Segunda etapa de educación secundaria;2014;2374,11
Total;Segunda etapa de educación secundaria;2022;3187,3
Total;Segunda etapa de educación secundaria;2021;3156,37
Total;Segunda etapa de educación secundaria;2020;3161,97
Total;Segunda etapa de educación secundaria;2019;3024,14
Total;Segunda etapa de educación secundaria;2018;3005,95
Total;Segunda etapa de educación secundaria;2017;2938,05
Total;Segunda etapa de educación secundaria;2016;2918,65
Total;Segunda etapa de educación secundaria;2015;2964,43
Total;Segunda etapa de educación secundaria;2014;2927,62
Total;Segunda etapa de educación secundaria;2022;4638,11
Total;Segunda etapa de educación secundaria;2021;4620,65
Total;Segunda etapa de educación secundaria;2020;4681,39
Total;Segunda etapa de educación secundaria;2019;4437,01
Total;Segunda etapa de educación secundaria;2018;4487,82
Total;Segunda etapa de educación secundaria;2017;4431,15
Total;Segunda etapa de educación secundaria;2016;4362,26
Total;Segunda etapa de educación secundaria;2015;4495,46
Total;Segunda etapa de educación secundaria;2014;4398,6
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1715,52
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1667,94
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1609,95
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1610,87
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1572,48
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1530,96
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1509,99
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1498,25
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1512,63
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;648,07
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;585,66
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;533,16
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;557,35
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;505,41
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;483,77
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;479,33
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;457,99
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;426,66
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1146,15
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1053,75
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1005,88
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;995,18
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;913,14
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;856,86
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;855,64
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;835,67
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;810,14
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1351,29
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1266,73
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1241,03
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1224,8
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1156,4
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1125,17
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1117,47
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1103,58
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1108,13
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1531,95
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1461,67
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1425,14
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1421,66
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1360,3
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1319,87
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2016;1328,37
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2015;1308,5
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2014;1315,63
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2022;1715,5
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2021;1653,12
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2020;1607,48
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2019;1593,21
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2018;1548,81
Total;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);2017;1498,21
